lion 사자
tiger 호랑이
lemon 레몬
pencil 연필
dog 개
bat 박쥐
korea 대한민국
country 국가
exam 시험
movie 영화
cat 고양이
apple 사과
bus 버스
banana 바나나
plant 식물
water 물
fire 불
huge 거대한
file 파일
football 축구
baseball 야구
swim 수영
pencil 연필
major 전공의
basketball 농구
math 수학
science 과학
experience 경험
student 학생
teacher 선생
english 영어
korean 한국어
machine 기계
computer 컴퓨터
guitar 기타
cup 컵
pen 펜
language 언어
effort 노력
father 아버지
mather 어머니
camera 카메라
print 출력
glass 유리
pants 바지
shirts 셔츠
eraser 지우개
fountain 분수
advice 조언
man 남자
woman 여자
china 중국
japan 일본
america 미국
half 반
investment 투자
society 사회
story 이야기
turtle 거북
rabbit 토끼
coin 동전
music 음악
name 이름
receipt 영수증
umbrella 우산
hand 손
foor 발
finger 손가락
stop 멈추다
start 시작
athlete 운동선수
passion 열정
lunch 점심식사
mountain 산
president 대통령
beer 맥주
home 집
wear 입다
sweat 땀
sweet 달다
ostrich 타조
eagle 독수리
philosophy 철학
meeting 만남
internet 인터넷
mouse 쥐
lamp 램프
strong 강한
week 약한
winter 겨울
mirror 거울
translator 번역기
chicken 닭
cow 소
pig 돼지
pork 돼지고기
beef 소고기
pencilcase 필통
gunpowder 화약
wheel 바퀴
speaker 스피커
